p_ji,acc
0.05,0.0
0.075,0.021584399745142303
0.1,0.016139195654919617
0.125,0.028445779576624395
0.15,0.03162539500265477
0.175,0.3641474564731057
0.2,0.7005649717514123
0.22499999999999998,0.6888888888888888
0.25,0.9523809523809524
0.27499999999999997,1.0
0.3,1.0
0.32499999999999996,1.0
0.35,1.0
0.37499999999999994,1.0
0.39999999999999997,1.0
0.42499999999999993,1.0
0.44999999999999996,1.0
0.475,1.0
0.49999999999999994,1.0
0.525,1.0
0.5499999999999999,1.0
0.575,1.0
0.6,1.0
0.625,1.0
0.65,1.0
0.675,1.0
0.7,1.0
0.725,1.0
0.75,1.0
0.775,1.0
0.7999999999999999,1.0
0.825,1.0
0.85,1.0
0.875,1.0
0.9,1.0
0.9249999999999999,1.0
0.95,1.0
0.975,1.0
1.0,1.0
